nuclei,File,Nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,Cy5File,X_A,Y_A,Z_A,x,y,z,Channel,Fret,Acceptor,Donor,Cy5,Pair
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_001.tif,669,324,19,671,324,18,a488,3691,3001,5672,2584,1
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_001.tif,653,303,25,656,300,24,a488,4126,1792,4668,2364,2
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_001.tif,631,302,28,635,297,28,a488,4401,1889,4523,3096,3
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_001.tif,628,302,19,629,296,18,a488,3903,1716,4812,2391,4
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_001.tif,639,286,24,644,282,23,a488,4225,1882,4716,2283,5
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_001.tif,597,329,15,597,330,18,a488,3314,1737,11075,2592,6
3,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_002.tif,320,278,16,320,277,18,a488,3807,1907,5113,2499,1
3,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_002.tif,313,324,20,310,320,19,a488,3579,1916,10473,5078,2
3,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_002.tif,314,306,26,310,303,24,a488,3984,1912,10262,3633,3
3,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_002.tif,335,241,28,335,246,30,a488,5016,2236,4656,4850,4
3,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_002.tif,298,309,15,297,304,17,a488,3298,1875,7595,7686,5
5,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_002.tif,414,861,18,414,857,19,a488,3629,1625,4676,2196,1
5,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_002.tif,417,811,28,419,816,28,a488,3677,1667,4567,2327,2
5,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_002.tif,424,783,27,419,779,26,a488,3579,1619,5877,2332,3
5,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM800_20220707_001/Cy5_002.tif,430,803,21,429,798,23,a488,3498,1702,4652,2282,4
