nuclei,File,Nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,Cy5File,X_A,Y_A,Z_A,x,y,z,Channel,Fret,Acceptor,Donor,Cy5,Pair
1,001.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_001.tif,157,137,17,157,136,17,a488,3058,2479,6243,2128,1
1,001.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_001.tif,142,193,16,142,192,17,a488,2794,2068,4946,2025,2
1,001.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_001.tif,139,129,22,137,132,20,a488,2335,1474,7149,2052,3
1,001.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_001.tif,160,157,22,159,157,25,a488,2611,1680,8792,2150,4
5,002.NM,2,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_002.tif,113,280,14,111,278,16,a488,2158,1332,4905,2048,1
5,002.NM,2,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_002.tif,128,304,28,126,301,26,a488,2098,1256,4723,1964,2
5,002.NM,2,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_002.tif,150,286,22,145,284,21,a488,2144,1305,4921,2074,3
5,002.NM,2,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_002.tif,114,305,21,114,300,19,a488,2251,1391,6440,2510,4
12,004.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_004.tif,476,97,20,474,95,22,a488,3137,3451,3736,1962,1
12,004.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM803_20220708_001/Cy5_004.tif,478,26,16,475,21,17,a488,2671,3294,15681,2026,2
