nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
3,002.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_002.tif,577,79,32,582,83,33,1,6.48074069840786
3,002.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_002.tif,562,141,22,562,140,25,2,3.16227766016838
4,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_002.tif,163,199,27,166,198,29,1,3.74165738677394
4,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_002.tif,135,176,25,139,181,26,2,6.48074069840786
6,002.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_002.tif,469,771,29,471,768,27,1,4.12310562561766
6,002.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_002.tif,467,794,30,470,798,28,2,5.3851648071345
7,002.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_002.tif,602,900,22,602,905,24,1,5.3851648071345
7,002.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_002.tif,671,929,34,672,929,37,2,3.16227766016838
8,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_003.tif,160,204,18,155,205,20,1,5.47722557505166
8,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_003.tif,210,200,16,210,199,13,2,3.16227766016838
9,003.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_003.tif,664,244,20,663,242,22,1,3
9,003.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_003.tif,635,234,28,630,235,29,2,5.19615242270663
11,004.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_004.tif,370,235,24,373,240,25,1,5.91607978309962
11,004.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_004.tif,344,217,26,344,222,24,2,5.3851648071345
12,004.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_004.tif,336,629,20,341,628,18,1,5.47722557505166
12,004.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_004.tif,369,586,22,369,587,19,2,3.16227766016838
13,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_004.tif,399,778,18,403,783,17,1,6.48074069840786
13,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_004.tif,465,760,25,464,765,27,2,5.47722557505166
14,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_004.tif,631,896,25,634,894,27,1,4.12310562561766
14,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_004.tif,599,800,19,592,800,19,2,7
22,007.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_007.tif,125,743,17,120,744,15,1,5.47722557505166
22,007.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_007.tif,133,692,16,133,691,19,2,3.16227766016838
23,008.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_008.tif,377,170,20,379,173,18,1,4.12310562561766
23,008.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_008.tif,356,214,17,352,213,15,2,4.58257569495584
25,008.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_008.tif,195,353,16,189,356,16,1,6.70820393249937
25,008.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_008.tif,182,399,16,183,404,18,2,5.47722557505166
27,008.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_008.tif,794,542,19,792,544,21,1,3.46410161513775
27,008.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM755_20220504_001/Cy5_008.tif,817,534,19,820,532,21,2,4.12310562561766
