nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
4,001.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_001.tif,654,832,17,650,832,19,1,4.47213595499958
4,001.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_001.tif,598,866,17,602,870,18,2,5.74456264653803
11,003.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_003.tif,493,435,16,494,436,15,1,1.73205080756888
11,003.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_003.tif,471,480,21,467,484,20,2,5.74456264653803
12,003.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_003.tif,845,594,23,849,595,21,1,4.58257569495584
12,003.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_003.tif,857,541,16,852,541,14,2,5.3851648071345
13,003.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_003.tif,522,565,22,524,569,24,1,4.89897948556636
13,003.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_003.tif,502,543,18,506,545,16,2,4.89897948556636
14,003.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_003.tif,402,799,19,397,799,21,1,5.3851648071345
14,003.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_003.tif,357,793,20,353,798,19,2,6.48074069840786
16,004.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_004.tif,570,108,16,574,110,14,1,4.89897948556636
16,004.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_004.tif,655,86,17,661,85,16,2,6.16441400296898
19,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_004.tif,304,719,18,307,721,18,1,3.60555127546399
19,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_004.tif,315,695,22,311,697,20,2,4.89897948556636
23,005.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM756_20220506_001/Cy5_005.tif,168,140,20,167,136,18,1,4.58257569495584
