nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
4,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_002.tif,359,822,19,363,826,18,1
4,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_002.tif,359,928,17,361,924,15,2
38,014.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_014.tif,720,102,17,714,102,16,1
38,014.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_014.tif,652,119,29,652,119,26,2
39,014.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_014.tif,200,471,26,197,471,24,1
39,014.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_014.tif,225,449,18,220,445,17,2
40,014.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_014.tif,147,584,24,144,578,24,1
40,014.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_014.tif,149,582,33,149,581,36,2
42,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_015.tif,691,818,25,691,823,23,1
42,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM766_20220523_001/Cy5_015.tif,730,804,26,737,804,26,2
