nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
9,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_004.tif,761,820,24,762,814,23,1
9,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_004.tif,789,877,19,789,884,19,2
18,007.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_007.tif,851,732,26,856,732,24,1
18,007.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_007.tif,822,735,32,817,736,30,2
19,008.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_008.tif,139,392,24,139,392,21,1
19,008.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_008.tif,126,416,23,125,416,26,2
20,008.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_008.tif,785,460,24,786,457,26,1
20,008.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_008.tif,674,485,21,671,481,23,2
21,008.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_008.tif,274,646,26,272,648,24,1
21,008.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_008.tif,311,618,26,311,611,26,2
22,008.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_008.tif,531,692,22,529,686,21,1
22,008.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_008.tif,520,808,15,515,804,14,2
24,009.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_009.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_009.tif,197,695,21,196,699,22,1
24,009.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_009.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_009.tif,110,686,26,108,680,27,2
37,014.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_014.tif,576,220,19,580,215,20,1
37,014.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_014.tif,606,194,23,601,190,24,2
39,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_015.tif,905,585,27,909,585,25,1
39,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_015.tif,875,641,30,880,645,31,2
40,015.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_015.tif,365,838,21,370,837,22,1
40,015.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_015.tif,338,738,26,337,733,24,2
41,016.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM769_20220524_001/Cy5_016.tif,143,371,22,146,371,20,1
