nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
5,002.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_002.tif,84,827,16,82,832,15,1,5.47722557505166
5,002.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_002.tif,57,800,11,60,797,9,2,4.69041575982343
6,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_003.tif,283,255,19,283,259,21,1,4.47213595499958
6,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_003.tif,257,225,12,259,221,10,2,4.89897948556636
11,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_004.tif,678,498,7,680,504,8,1,6.40312423743285
11,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_004.tif,705,556,6,700,557,8,2,5.47722557505166
12,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_004.tif,769,737,7,769,742,6,1,5.09901951359278
12,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_004.tif,777,679,6,771,681,5,2,6.40312423743285
13,004.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_004.tif,663,734,9,665,730,7,1,4.89897948556636
13,004.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_004.tif,686,758,6,686,758,9,2,3
17,005.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_005.tif,300,445,7,298,441,5,1,4.89897948556636
17,005.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_005.tif,363,484,8,362,479,6,2,5.47722557505166
20,006.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_006.tif,641,286,12,642,291,11,1,5.19615242270663
20,006.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_006.tif,655,310,12,656,315,10,2,5.47722557505166
31,008.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_008.tif,512,558,9,518,556,8,1,6.40312423743285
31,008.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_008.tif,529,587,6,525,584,8,2,5.3851648071345
49,013.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_013.tif,105,610,12,107,615,12,1,5.3851648071345
49,013.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_013.tif,121,629,18,116,629,20,2,5.3851648071345
50,013.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_013.tif,633,673,7,637,675,8,1,4.58257569495584
50,013.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_013.tif,589,610,7,592,607,5,2,4.69041575982343
52,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_015.tif,379,368,9,380,371,10,1,3.3166247903554
52,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_015.tif,326,389,10,326,395,10,2,6
56,016.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_016.tif,568,500,14,567,504,12,1,4.58257569495584
56,016.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_016.tif,546,523,14,540,525,14,2,6.32455532033676
57,016.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_016.tif,504,799,12,505,805,12,1,6.08276253029822
57,016.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_016.tif,421,823,5,420,827,7,2,4.58257569495584
63,018.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_018.tif,299,94,7,299,91,9,1,3.60555127546399
63,018.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM753_20220503_002/Cy5_018.tif,311,159,9,316,159,11,2,5.3851648071345
