nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
5,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_002.tif,547,674,22,551,676,22,1
5,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_002.tif,564,692,27,569,691,25,2
28,014.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_014.tif,359,731,22,357,735,24,1
28,014.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_014.tif,328,728,21,328,723,23,2
37,020.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_020.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_020.tif,203,194,24,204,193,26,1
37,020.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_020.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_020.tif,221,176,31,222,179,29,2
39,021.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_021.tif,206,418,22,206,415,24,1
39,021.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_021.tif,306,412,25,302,415,27,2
49,025.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_025.tif,745,275,27,748,274,25,1
49,025.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_025.tif,670,266,24,665,266,22,2
52,026.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_026.tif,584,186,28,582,180,27,1
52,026.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_026.tif,530,134,30,534,137,28,2
53,026.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_026.tif,487,917,31,492,921,30,1
53,026.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_026.tif,473,895,31,478,899,30,2
54,027.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_027.tif,601,162,23,596,161,24,1
54,027.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_027.tif,548,199,22,554,200,22,2
57,028.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_028.tif,633,771,31,639,773,30,1
57,028.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_028.tif,647,744,33,647,744,30,2
66,032.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/tmr_032.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM768_20220523_001/Cy5_032.tif,706,819,26,711,822,27,1
