nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
60,019.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_019.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_019.tif,222,768,26,223,773,28,2,5.47722557505166
62,020.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_020.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_020.tif,291,891,17,287,889,19,1,4.89897948556636
62,020.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_020.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_020.tif,300,905,24,295,909,23,2,6.48074069840786
63,020.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_020.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_020.tif,727,935,24,727,935,27,1,3
63,020.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_020.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_020.tif,714,926,18,715,926,21,2,3.16227766016838
64,021.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_021.tif,248,313,23,249,310,21,1,3.74165738677394
64,021.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_021.tif,299,296,24,295,293,22,2,5.3851648071345
66,021.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_021.tif,105,676,19,108,674,21,1,4.12310562561766
66,021.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_021.tif,129,707,24,130,712,22,2,5.47722557505166
67,022.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_022.tif,842,272,20,840,277,20,1,5.3851648071345
67,022.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_022.tif,884,201,21,883,207,20,2,6.16441400296898
69,022.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_022.tif,264,727,21,269,731,22,1,6.48074069840786
