nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
49,016.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_016.tif,139,315,24,139,314,26,1
49,016.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_016.tif,129,346,25,130,351,23,2
51,016.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_016.tif,363,713,29,366,714,27,1
51,016.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_016.tif,411,733,28,409,727,27,2
55,018.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_018.tif,46,340,25,46,337,23,1
55,018.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_018.tif,137,394,26,132,398,25,2
59,019.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_019.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_019.tif,187,737,22,183,738,24,1
59,019.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_019.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_019.tif,266,769,27,265,765,25,2
62,020.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_020.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_020.tif,666,677,20,664,681,18,1
62,020.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_020.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_020.tif,619,753,16,621,747,17,2
73,025.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_025.tif,174,338,31,177,342,29,1
73,025.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_025.tif,107,319,23,111,322,25,2
74,025.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_025.tif,699,718,25,701,721,27,1
74,025.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_025.tif,773,653,21,778,649,22,2
75,025.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_025.tif,322,789,29,316,787,29,1
75,025.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_025.tif,335,833,23,338,837,21,2
76,026.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_026.tif,728,214,23,722,216,22,1
76,026.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_026.tif,777,109,23,777,116,23,2
77,026.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_026.tif,61,448,28,61,443,26,1
77,026.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_026.tif,80,429,27,79,424,25,2
78,026.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_026.tif,803,736,22,802,738,24,1
78,026.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_026.tif,852,718,24,858,719,25,2
81,027.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_027.tif,690,402,20,688,404,22,1
81,027.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_027.tif,698,436,24,697,436,21,2
82,027.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_027.tif,549,556,29,552,559,27,1
82,027.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_027.tif,509,492,25,509,493,22,2
84,028.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_028.tif,567,359,26,564,357,24,1
84,028.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_028.tif,650,360,24,645,362,25,2
