nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
52,018.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_018.tif,120,835,18,118,832,18,1
52,018.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_018.tif,150,757,20,153,757,19,2
57,021.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_021.tif,888,256,20,887,251,18,1
57,021.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_021.tif,800,262,18,799,262,21,2
82,029.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_029.tif,516,156,21,511,156,19,1
82,029.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_029.tif,460,149,26,455,153,27,2
84,029.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_029.tif,106,327,23,101,324,23,1
84,029.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_029.tif,115,374,17,112,372,15,2
89,030.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_030.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_030.tif,164,889,15,164,892,16,1
89,030.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_030.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_030.tif,115,885,19,116,885,17,2
90,031.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_031.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_031.tif,138,75,18,140,81,19,1
90,031.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_031.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_031.tif,103,158,22,103,158,19,2
92,031.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_031.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_031.tif,513,802,20,510,805,22,1
92,031.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_031.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_031.tif,567,863,18,566,868,16,2
94,032.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_032.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_032.tif,565,275,21,565,280,20,1
94,032.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_032.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_032.tif,531,275,16,527,278,18,2
96,032.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_032.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_032.tif,586,907,17,588,909,17,1
96,032.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_032.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_032.tif,580,902,26,582,898,24,2
