nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
5,003.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_003.tif,729,739,22,732,735,20,1,5.3851648071345
5,003.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_003.tif,640,727,25,635,723,26,2,6.48074069840786
7,004.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_004.tif,245,580,21,239,583,21,1,6.70820393249937
7,004.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_004.tif,272,614,20,270,608,21,2,6.40312423743285
8,005.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_005.tif,279,197,22,283,194,23,1,5.09901951359278
8,005.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_005.tif,316,123,24,319,120,22,2,4.69041575982343
11,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_006.tif,610,430,20,615,427,20,1,5.8309518948453
11,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_006.tif,662,471,25,658,474,23,2,5.3851648071345
12,006.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_006.tif,787,592,24,786,589,22,1,3.74165738677394
12,006.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM750_20220502_001/Cy5_006.tif,727,559,23,727,554,21,2,5.3851648071345
