nuclei,File,Nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,Cy5File,X_A,Y_A,Z_A,x,y,z,Channel,Fret,Acceptor,Donor,Cy5,Pair
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,359,175,25,358,180,24,a488,4108,1557,3992,3543,1
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,325,173,27,319,171,27,a488,3600,1527,4931,2380,2
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,341,156,34,347,153,34,a488,3968,1531,3964,2809,3
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,312,189,24,317,190,22,a488,3101,2330,5440,2275,4
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,330,192,30,330,192,33,a488,3540,1576,3923,2723,5
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,369,174,36,369,175,33,a488,3661,1523,5995,2830,6
4,001.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,83,832,37,86,834,35,a488,2911,1231,3642,2172,1
4,001.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,91,851,27,92,847,25,a488,3069,1233,3439,2347,2
4,001.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,71,860,19,73,856,17,a488,2712,1226,3441,2078,3
4,001.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,86,811,22,81,811,24,a488,2593,1269,4686,2075,4
4,001.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,111,845,28,110,840,30,a488,2888,1256,3604,2223,5
4,001.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_001.tif,96,854,36,95,859,34,a488,2990,1239,3548,2638,6
5,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,767,288,35,769,282,34,a488,3154,1404,3737,2353,1
5,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,815,245,34,820,245,32,a488,2996,1461,3956,2348,2
5,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,806,278,29,802,273,28,a488,3305,1516,4861,2403,3
5,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,793,314,26,798,310,27,a488,3318,1473,3381,2669,4
5,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,798,230,32,805,230,32,a488,2990,1527,3263,1987,5
6,002.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,413,378,31,418,379,30,a488,2910,1383,6761,2197,1
6,002.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,321,312,29,325,311,31,a488,2469,1452,4573,2147,2
6,002.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,392,366,27,394,362,29,a488,3092,1735,4104,2965,3
6,002.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,334,335,31,330,332,33,a488,2759,1381,4169,2456,4
6,002.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,329,361,30,324,362,28,a488,3041,1402,3472,2225,5
6,002.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,357,345,35,357,344,32,a488,3374,1444,3488,2408,6
7,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,98,489,28,94,488,26,a488,2998,1448,5998,2363,1
7,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,125,476,26,126,470,27,a488,2726,1452,3721,2844,2
7,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,61,545,34,58,549,32,a488,3182,2167,3965,4653,3
7,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,99,491,37,103,488,35,a488,3302,1405,3695,2566,4
7,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,142,496,30,142,496,33,a488,3094,1394,3655,2339,5
7,002.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_002.tif,70,477,33,69,477,36,a488,2933,1611,4295,2294,6
10,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_003.tif,262,855,35,257,859,35,a488,2877,1433,3455,2336,1
10,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_003.tif,319,874,26,315,879,27,a488,2972,1399,3457,3200,2
10,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_003.tif,282,891,33,287,892,35,a488,2911,1385,4077,4521,3
10,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_003.tif,294,867,36,289,866,34,a488,2860,1485,3448,2610,4
10,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_003.tif,338,865,26,338,864,29,a488,3017,1379,3503,2394,5
10,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_003.tif,315,844,32,316,844,29,a488,3132,1336,3492,3191,6
11,004.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_004.tif,668,241,30,671,238,28,a488,3647,1728,3829,2762,1
11,004.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_004.tif,720,257,28,726,257,29,a488,4012,1586,3525,2302,2
11,004.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_004.tif,694,247,25,697,251,23,a488,3736,1554,3452,2341,3
11,004.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_004.tif,655,234,36,660,238,37,a488,3726,1505,3719,2518,4
11,004.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_004.tif,702,250,37,697,251,35,a488,3900,1498,3758,2309,5
11,004.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM794_20220706_001/Cy5_004.tif,680,218,27,680,219,30,a488,3939,1581,4287,2937,6
