nuclei,File,Nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,Cy5File,X_A,Y_A,Z_A,x,y,z,Channel,Fret,Acceptor,Donor,Cy5,Pair
4,002.NM,2,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_002.tif,349,368,18,348,369,16,a488,4682,5380,5422,2977,1
4,002.NM,2,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_002.tif,338,360,25,341,357,23,a488,3822,2316,9449,2880,2
4,002.NM,2,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_002.tif,339,378,29,343,380,31,a488,4818,4518,10424,4592,3
4,002.NM,2,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_002.tif,362,388,24,366,386,22,a488,4240,2304,5905,3581,4
15,006.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_006.tif,814,152,23,817,150,21,a488,3405,2225,6295,2287,1
15,006.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_006.tif,768,186,14,772,188,12,a488,3625,1815,3777,2631,2
15,006.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_006.tif,792,154,17,795,150,19,a488,3876,3781,3819,2616,3
15,006.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_006.tif,797,197,23,790,197,23,a488,3457,1975,8660,2723,4
16,006.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_006.tif,48,619,25,44,618,23,a488,3250,2640,6271,2502,1
16,006.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a594_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/a488fret_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM793_20220706_001/Cy5_006.tif,52,692,20,51,696,22,a488,2796,1660,5314,2707,2
