nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_001.tif	641	257	23	644.0	254.0	24.0	a488	2745	3741	3306	1	5	7.0.2	644	254	24	2.0	3120.0	0.6427137247763015	1734.4163283364235	0.3572862752236985	0.0	0.4866393248839676	0.25456265439598985	0.1036493234366592	0.0	2.0	31.007604256433094
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_001.tif	633	238	22	632.0	242.0	19.0	a488	2363	1736	5387	2	5	7.0.2	632	242	19	2.0	3801.9731719200754	0.7497382541407944	1269.0941651429969	0.2502617458592056	1.0	0.26880760852529817	0.3675059751833132	-0.1463506765633408	0.0	1.0	31.007604256433094
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_001.tif	819	598	25	822.0	594.0	22.0	a488	2973	2366	6853	1	5	7.0.2	822	594	22	4.0	3988.533565108861	0.9684353671167509	130.0	0.031564632883249066	1.0	0.24442526648172608	-0.17863819436997772	-0.04774335177195516	0.0	2.0	137.71445066255984
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_001.tif	801	580	22	799.0	579.0	18.0	a488	3506	6183	3585	2	5	7.0.2	799	579	18	4.0	4072.8491256121924	1.0	0.0	0.0	1.0	-0.15902775139858638	0.1281414660747031	-0.25826966756142883	0.0	1.0	137.71445066255984
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_001.tif	814	805	27	807.0	806.0	26.0	a488	2600	1811	3268	1	5	7.0.2	807	806	26	3.0	3656.692494591253	0.7317734250262503	1340.3357788255896	0.2682265749737497	0.0	-0.4486718052245842	-0.03384579026646291	0.16572717999676295	0.0	1.0	101.81256335213902
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_001.tif	807	844	23	803.0	847.0	24.0	a488	2626	2210	7100	2	5	7.0.2	803	847	24	3.0	2629.752840097335	0.5762375765758575	1933.9079605813715	0.4237624234241425	0.0	0.07124112120417199	0.48433916654200104	0.06572717999676296	0.0	2.0	101.81256335213902
9	4	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_004.tif	669	130	25	669.0	123.0	25.0	a488	4984	11229	3843	1	5	7.0.2	669	123	25	3.0	3772.5455596983847	0.9111898272137191	367.6955262170047	0.0888101727862809	1.0	0.08606215159443714	0.2742236826797494	-0.040924864894174566	0.0	1.0	75.43352964058306
9	4	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_004.tif	662	103	28	661.0	103.0	30.0	a488	4802	6928	4432	2	5	7.0.2	661	103	30	3.0	3600.0	0.8571428571428571	600.0	0.1428571428571429	0.0	0.3347458412583684	-0.04369447952584875	0.25319278216464897	0.0	2.0	75.43352964058306
10	4	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_004.tif	539	533	23	542.0	534.0	20.0	a488	2546	2124	10392	1	5	7.0.2	542	534	20	2.0	1334.1664064126335	0.2943528604142633	3198.3745871926885	0.7056471395857367	1.0	-0.22422967613222977	0.7122739380859341	-0.24164005980830006	0.0	2.0	144.2381213473921
10	4	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM761_202205012_001/a488fret_004.tif	532	484	25	531.0	476.0	24.0	a488	3179	2760	8482	2	5	7.0.2	531	476	24	2.0	2758.7134682674096	0.6549406966954185	1453.4441853748633	0.34505930330458146	1.0	0.348123454712384	-0.32477040832150395	-0.019417837586077822	0.0	1.0	144.2381213473921
