nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
24	8	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	383	187	20	381.0	182.0	21.0	a488	3718	6100	4943	1	5	7.0.2	381	182	21	2.0	2396.83124145193	1.0	0.0	0.0	2.0	0.6315398841047775	0.1366139606832042	0.19316032949113637	0.0	1.0	127.08951514642222
24	8	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	343	128	12	343.0	122.0	13.0	a488	3989	7313	7173	2	5	7.0.2	343	122	13	2.0	936.8030742904295	0.1863326031454407	4090.782321268146	0.8136673968545594	1.0	-0.14965905634753668	-0.3559880857369207	-0.20683967050886362	0.0	2.0	127.08951514642222
25	8	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	789	306	26	792.0	302.0	27.0	a488	4419	4086	5124	1	5	7.0.2	792	302	27	5.0	4500.0	0.9375	300.0	0.0625	0.0	-0.02289689552564247	0.031063591494662174	0.4042315438457475	0.0	0.0	
25	8	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	813	258	15	817.0	256.0	16.0	a488	4543	10383	4974	2	5	7.0.2	817	256	16												
26	8	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	500	528	16	501.0	526.0	17.0	a488	5754	8940	12449	1	5	7.0.2	501	526	17	4.0	1654.6298679765212	0.5528218213026905	1338.43191832831	0.44717817869730947	1.0	-0.06097889245562862	0.3637437665984935	-0.05388031783281093	0.0	1.0	98.7982575451569
26	8	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	555	519	8	558.0	520.0	9.0	a488	3938	2050	7092	2	5	7.0.2	558	520	9	4.0	1207.683733433551	0.32410467907713475	2518.531318050264	0.6758953209228653	2.0	0.7798694270454881	-0.07369705098618702	-0.4538803178328109	0.0	2.0	98.7982575451569
27	8	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	179	639	13	174.0	636.0	10.0	a488	3106	1817	9369	1	5	7.0.2	174	636	10	1.0	1015.3324578678651	0.4510887506884939	1235.5160864998886	0.548911249311506	1.0	-0.3340840376332374	0.1628522208125042	-0.3169132288715389	0.0	2.0	74.28863286609759
27	8	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	218	635	9	216.0	629.0	10.0	a488	3295	5081	11422	2	5	7.0.2	216	629	10	1.0	1162.7553482998906	0.5259316327146809	1048.0935072788116	0.4740683672853191	1.0	0.14136918253745392	0.5155252369844814	-0.3169132288715389	0.0	1.0	74.28863286609759
28	8	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	363	894	10	366.0	889.0	8.0	a488	4715	9305	9645	1	5	7.0.2	366	889	8	3.0	2400.0	0.5333333333333333	2100.0	0.4666666666666667	1.0	-0.02302133949317313	0.047469152812035904	-0.5041286580727112	0.0	1.0	93.10009995867644
28	8	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_008.tif	408	872	23	407.0	871.0	19.0	a488	3320	1897	7306	2	5	7.0.2	407	871	19	3.0	1090.0	0.23647093488797344	3519.445979127965	0.7635290651120266	2.0	0.5742590211443247	0.5382708827399078	0.04587134192728879	0.0	2.0	93.10009995867644
30	9	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_009.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_009.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_009.tif	802	446	18	804.0	441.0	19.0	a488	4059	6199	5492	1	5	7.0.2	804	441	19	3.0	183.84776310850236	0.07763256729102551	2184.3305610644193	0.9223674327089745	0.0	0.3431214948725984	-0.06615441658289582	0.03701208995009377	0.0	0.0	
30	9	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_009.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_009.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_009.tif	748	440	20	747.0	434.0	17.0	a488	6047	1820	5247	2	5	7.0.2	747	434	17												
35	11	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_011.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_011.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_011.tif	209	288	14	214.0	286.0	12.0	a488	3573	3742	7683	1	5	7.0.2	214	286	12	1.0	2886.260556498668	0.5196659855495185	2667.808089049885	0.4803340144504815	2.0	0.7009117383390095	0.09726222789645143	-0.38578877964662617	0.0	2.0	48.6172993666483
35	11	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_011.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_011.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_011.tif	188	310	23	186.0	309.0	25.0	a488	3797	4390	5214	2	5	7.0.2	186	309	25	1.0	2968.164415931166	0.583181958380446	2121.4381914163796	0.41681804161955405	0.0	0.285034847578751	-0.09698463669147579	0.26421122035337385	0.0	1.0	48.6172993666483
36	11	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_011.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_011.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_011.tif	272	772	14	274.0	768.0	11.0	a488	2631	1637	10882	1	5	7.0.2	274	768	11	2.0	1769.745744450315	0.6045063042158965	1157.8428218026831	0.39549369578410354	1.0	0.27885089538567054	-0.5252199426606443	-0.4354420694816243	0.0	1.0	50.5479493065587
36	11	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_011.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_011.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_011.tif	261	800	21	260.0	800.0	17.0	a488	3257	2574	11197	2	5	7.0.2	260	800	17	2.0	1306.4838307457157	0.45577924310350426	1560.0	0.5442207568964957	2.0	0.5189311775281359	-0.06253085961075099	-0.1354420694816243	0.0	2.0	50.5479493065587
37	12	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_012.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_012.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_012.tif	137	301	21	137.0	296.0	18.0	a488	2815	1614	7429	1	5	7.0.2	137	296	18	1.0	761.3803254615922	0.24494286322423442	2347.019386370722	0.7550571367757656	0.0	0.4923413973103637	0.35656780179654124	0.036427789863934204	0.0	1.0	148.6371141978335
37	12	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_012.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_012.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_012.tif	111	375	16	107.0	371.0	13.0	a488	2789	1846	7426	2	5	7.0.2	107	371	13	1.0	367.6955262170047	0.09083887821457194	3680.081520836189	0.9091611217854281	1.0	-0.4742731156912224	0.022800651416335024	-0.2135722101360658	0.0	2.0	148.6371141978335
38	12	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_012.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_012.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_012.tif	447	432	22	450.0	426.0	21.0	a488	3662	5148	8459	1	5	7.0.2	450	426	21	3.0	2748.927063419472	0.4994997848858243	2754.4327909753033	0.5005002151141758	0.0	-0.1534293144603775	0.6089158197083547	0.0895344180330806	0.0	2.0	91.56050401420396
38	12	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_012.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_012.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_012.tif	426	377	22	425.0	377.0	24.0	a488	4230	5827	5705	2	5	7.0.2	425	377	24	3.0	3796.419365665495	0.6710521010468571	1860.994357863559	0.3289478989531429	0.0	-0.4933479598750796	-0.2135646227389163	0.2395344180330806	0.0	1.0	91.56050401420396
41	13	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_013.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_013.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_013.tif	805	265	21	805.0	268.0	18.0	a488	3460	2170	9913	1	5	7.0.2	805	268	18	4.0	1676.4545922869488	0.2994330562230509	3922.3079940259663	0.7005669437769491	2.0	-0.5910113837633665	-0.43304708108920253	0.02182349541260873	0.0	2.0	140.32186439904305
