nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_001.tif	557	107	21	559.0	110.0	22.0	a488	4393	6974	5142	1	5	7.0.2	559	110	22	3.0	1512.283042290695	0.46767497960114296	1721.3366899011942	0.532325020398857	1.0	-0.2451879381781162	-0.18022242906591693	-0.01735272042719682	0.0	2.0	132.1386411962669
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_001.tif	589	92	23	588.0	92.0	19.0	a488	5319	9776	4252	2	5	7.0.2	588	92	19	3.0	1528.2997088267732	0.483112469802262	1635.1452534866742	0.516887530197738	1.0	0.26543218531063495	-0.11431137379310394	-0.16735272042719682	0.0	1.0	132.1386411962669
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_001.tif	790	516	26	783.0	512.0	25.0	a488	2984	3365	4280	1	5	7.0.2	783	512	25												
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_001.tif	765	545	23	768.0	541.0	24.0	a488	3520	1657	3358	2	5	7.0.2	768	541	24	4.0	2002.698179956231	1.0	0.0	0.0	0.0	0.3251977755023214	0.2931255994033959	0.10400427919621827	0.0	0.0	
5	2	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_002.tif	706	238	19	709.0	235.0	20.0	a488	5183	15785	5010	1	5	7.0.2	709	235	20	4.0	1435.896932234344	0.41506114961861235	2023.5859260234047	0.5849388503813877	2.0	0.5229903609425293	-0.3965585227186276	-0.1294972485636107	0.0	1.0	156.96638270571123
5	2	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_002.tif	683	172	27	682.0	172.0	23.0	a488	4563	8539	4326	2	5	7.0.2	682	172	23	4.0	650.0	0.236691819076534	2096.187014557623	0.763308180923466	0.0	-0.3884690795787524	0.09011322198496201	0.02050275143638931	0.0	2.0	156.96638270571123
7	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_002.tif	619	860	20	621.0	858.0	21.0	a488	4104	6931	4492	1	5	7.0.2	621	858	21	3.0	2400.0	0.34631593369763847	4530.088299360179	0.6536840663023615	1.0	-0.3358205298785489	0.1206703532490119	-0.08950923894470204	0.0	2.0	153.97135493344763
7	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_002.tif	677	804	25	677.0	803.0	21.0	a488	3387	3956	4181	2	5	7.0.2	677	803	21	3.0	1523.2859219463692	0.3580585304497724	2731.0071402323356	0.6419414695502276	2.0	0.5168878138808232	-0.6299310264963806	-0.08950923894470204	0.0	1.0	153.97135493344763
8	3	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_003.tif	339	231	19	344.0	231.0	18.0	a488	3310	6191	3933	1	5	7.0.2	344	231	18	1.0	260.0	0.049230167339455615	5021.314568915196	0.9507698326605444	2.0	0.5507122830122265	0.7343616895786157	-0.19592870518631092	0.0	2.0	130.46012098524437
8	3	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_003.tif	261	205	26	264.0	201.0	27.0	a488	4405	9330	4022	2	5	7.0.2	264	201	27	1.0	1748.9711261195823	0.3112503601501796	3870.2067128255567	0.6887496398498204	0.0	0.09400822796926499	-0.6545071910882608	0.25407129481368906	0.0	1.0	130.46012098524437
9	3	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_003.tif	662	266	26	666.0	266.0	27.0	a488	3918	7479	3709	1	5	7.0.2	666	266	27												
9	3	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_003.tif	678	315	28	676.0	309.0	25.0	a488	2607	1794	5729	2	5	7.0.2	676	309	25	3.0	1055.556725145551	0.3454406647814621	2000.124996093994	0.6545593352185379	0.0	0.35686629750016335	-0.37316110065703106	0.19659863882518494	0.0	0.0	
10	3	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a594_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM776_20220601_001/a488fret_003.tif	450	744	21	445.0	742.0	18.0	a488	2652	1772	10943	1	5	7.0.2	445	742	18	2.0	4366.875313081426	0.7843453132700946	1200.6664815842908	0.2156546867299054	1.0	0.18873125314804307	-0.3612725912031114	-0.1747440196388375	0.0	1.0	59.6825329246551
