nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_001.tif	656	692	22	652.0	697.0	21.0	a488	3095	4823	6583	1	5	7.0.2	652	697	21	3.0	290.68883707497264	0.09498169431998217	2769.783385032122	0.9050183056800178	0.0	0.20816181374239018	0.023898167966938753	0.048684607576879736	0.0	2.0	169.66024456748943
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_001.tif	599	627	22	593.0	627.0	19.0	a488	2899	1875	8233	2	5	7.0.2	593	627	19	3.0	2030.6649157357301	0.2950414037363986	4851.978977695596	0.7049585962636014	2.0	-0.7678001220293426	0.1369431791799584	-0.05131539242312026	0.0	1.0	169.66024456748943
7	4	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_004.tif	361	337	23	356.0	339.0	20.0	a488	2300	1726	9819	1	5	7.0.2	356	339	20	2.0	715.8910531638177	0.1396589968428583	4410.102039635818	0.8603410031571417	2.0	0.8258732754965594	0.10617387675648328	0.008996314737583866	0.0	2.0	57.526771617400094
7	4	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_004.tif	388	385	21	386.0	389.0	22.0	a488	2363	1759	9562	2	5	7.0.2	386	389	22	2.0	1874.8866632412744	0.35585244814162154	3393.832641719388	0.6441475518583785	0.0	0.2381540915494627	-0.44630127787530954	0.10899631473758387	0.0	1.0	57.526771617400094
8	4	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_004.tif	112	547	23	108.0	542.0	20.0	a488	2115	1694	9722	1	5	7.0.2	108	542	20	1.0	780.0	0.1886575855510793	3354.4746235439015	0.8113424144489207	0.0	0.07988466356177511	-0.4581582907209174	0.01942020797385826	0.0	2.0	110.22044407701797
8	4	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_004.tif	163	519	22	157.0	518.0	19.0	a488	1811	1645	6631	2	5	7.0.2	157	518	19	1.0	1812.0982313329484	0.6460421778465208	992.8242543370906	0.35395782215347915	1.0	0.4822933548939038	0.49973570942617296	-0.03057979202614174	0.0	1.0	110.22044407701797
14	6	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_006.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_006.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_006.tif	296	97	21	301.0	94.0	19.0	a488	4395	7641	9262	1	5	7.0.2	301	94	19	1.0	3861.5152466357035	0.6273579809870569	2293.686988235317	0.37264201901294314	2.0	-0.6124071685599861	-0.10606332763769435	-0.0662883342629998	0.0	1.0	52.791689885056066
14	6	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_006.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_006.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_006.tif	273	127	28	271.0	126.0	24.0	a488	2640	2140	7354	2	5	7.0.2	271	126	24	1.0	2820.8154849263005	0.5536012304524525	2274.5768837302467	0.44639876954754754	0.0	-0.15243088853470235	-0.3464925758563771	0.1837116657370002	0.0	2.0	52.791689885056066
16	7	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_007.tif	219	177	22	217.0	174.0	19.0	a488	3270	6581	12143	1	5	7.0.2	217	174	19	1.0	1110.720486891279	0.28415178769493055	2798.177978613941	0.7158482123050695	1.0	-0.49265700471132395	0.145097906621929	-0.046788504941701704	0.0	1.0	142.45750403655416
16	7	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM748_20220426_001/a488fret_007.tif	221	95	18	224.0	92.0	19.0	a488	3615	8267	3914	2	5	7.0.2	224	92	19	1.0	1357.2398461583716	0.26990693477268846	3671.3076689375953	0.7300930652273115	1.0	0.3769190940968686	-0.5534558911218662	-0.046788504941701704	0.0	2.0	142.45750403655416
