nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	448	126	19	453.0	125.0	18.0	a488	2528	2619	3337	1	5	7.0.2	453	125	18	5.0	2509.760944791356	1.0	0.0	0.0	1.0	-0.09429059822157891	0.6898470286278896	-0.1424738390581604	0.0	1.0	123.76886046046735
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	491	40	23	494.0	37.0	20.0	a488	2055	1834	6710	2	5	7.0.2	494	37	20	5.0	1676.4545922869488	0.2711980055317916	4505.208097302499	0.7288019944682085	2.0	-0.6048571451759583	-0.6076541054604776	-0.0424738390581604	0.0	2.0	123.76886046046735
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	111	329	20	114.0	331.0	19.0	a488	2206	2405	5204	1	5	7.0.2	114	331	19	1.0	3877.653929891114	0.7961875996385187	992.622788374315	0.2038124003614813	1.0	-0.16107755928371661	0.29158950469587913	-0.08687080305302004	0.0	1.0	10.049597841389453
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	97	360	21	100.0	362.0	18.0	a488	1948	1285	9352	2	5	7.0.2	100	362	18	1.0	1690.0	0.26583966123333425	4667.215443923711	0.7341603387666658	1.0	-0.48267664320267384	0.6345196513440435	-0.13687080305302005	0.0	2.0	10.049597841389453
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	373	490	22	373.0	493.0	23.0	a488	2211	1659	8853	1	5	7.0.2	373	493	23	3.0	1483.9474384222644	0.3058459612286805	3367.9964370527473	0.6941540387713194	2.0	0.507725940931521	0.5933706206276583	0.09468293073630321	0.0	2.0	140.58268945321396
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	384	418	27	383.0	424.0	26.0	a488	2789	2806	6356	2	5	7.0.2	383	424	26	3.0	3548.633539829099	0.7428381923719024	1228.495014234897	0.2571618076280976	0.0	-0.409596897914016	-0.11397238576688531	0.2446829307363032	0.0	1.0	140.58268945321396
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	158	708	19	161.0	704.0	20.0	a488	2107	1684	3274	1	5	7.0.2	161	704	20	2.0	650.0	0.23264013162896038	2144.0149253211835	0.7673598683710396	1.0	0.36510169376483376	-0.09423659903038238	-0.06295817434149598	0.0	2.0	137.5344698037783
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	168	635	24	166.0	639.0	25.0	a488	2395	3240	3277	2	5	7.0.2	166	639	25	2.0	900.0	0.3092439875494242	2010.3233570746772	0.6907560124505758	2.0	-0.5328959329760092	-0.31357893892343136	0.18704182565850402	0.0	1.0	137.5344698037783
5	1	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	778	752	23	783.0	750.0	21.0	a488	2802	3634	4054	1	5	7.0.2	783	750	21	7.0	2142.8952377566197	0.4742447878343441	2375.6472802164885	0.5257552121656559	1.0	0.4144751214030824	-0.22764214268714816	-0.03308390234776919	0.0	2.0	172.01988625483196
5	1	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM757_20220505_001/a488fret_001.tif	713	712	20	717.0	711.0	21.0	a488	3338	1661	7663	2	5	7.0.2	717	711	21	7.0	2488.1519246219673	0.5856787002928497	1760.170446292063	0.41432129970715026	2.0	-0.6804261748282361	0.21517875975624734	-0.03308390234776919	0.0	1.0	172.01988625483196
