nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	219	165	15	215.0	161.0	12.0	a488	2990	2594	13195	1	5	7.0.2	215	161	12	2.0	1690.0	0.33958034589848907	3286.7308986286052	0.6604196541015109	2.0	0.5865137051126945	0.425037200688179	-0.2688563803675505	0.0	2.0	141.5127830731839
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	188	96	14	186.0	90.0	11.0	a488	4731	7267	14114	2	5	7.0.2	186	90	11	2.0	3300.0	0.6796677533174857	1555.313473226539	0.32033224668251425	1.0	-0.4052590236502335	-0.2616915809902964	-0.3188563803675505	0.0	1.0	141.5127830731839
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	888	326	18	887.0	324.0	20.0	a488	5185	7274	6021	1	5	7.0.2	887	324	20	8.0	2920.8902752414374	0.7932307513423301	761.3803254615922	0.20676924865766988	0.0	0.09849928252287588	0.20488578693190782	0.016809605011697572	0.0	1.0	93.53252500572574
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	871	270	16	870.0	270.0	18.0	a488	4443	3931	4362	2	5	7.0.2	870	270	18	8.0	1455.1975810864997	0.2460337528335363	4459.428214468756	0.7539662471664637	2.0	0.6347612304240483	-0.543318463586707	-0.08319039498830243	0.0	2.0	93.53252500572574
5	1	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	287	417	13	286.0	411.0	14.0	a488	4605	7599	11360	1	5	7.0.2	286	411	14	4.0	1950.0	0.3512248189871347	3601.9994447528725	0.6487751810128652	2.0	-0.7110092819270806	0.23117403060380334	-0.18210741555420712	0.0	1.0	127.84854995031253
5	1	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	259	338	17	258.0	332.0	14.0	a488	3671	2597	8974	2	5	7.0.2	258	332	14	4.0	1435.896932234344	0.31777198023190717	3082.7422856930484	0.6822280197680928	1.0	0.2791602304009565	-0.7084949560247736	-0.18210741555420712	0.0	2.0	127.84854995031253
6	1	6	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	527	376	21	524.0	380.0	21.0	a488	3585	2210	18822	1	5	7.0.2	524	380	21	5.0	1861.316738225926	0.6629255873966639	946.4142856064674	0.33707441260333615	2.0	0.6802027243361436	0.08486929197045866	0.0845428746085087	0.0	1.0	14.36038263392341
6	1	6	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	541	361	19	540.0	356.0	20.0	a488	4077	7428	6756	2	5	7.0.2	540	356	20	5.0	1371.6413525408163	0.4892493177319295	1431.9217855734998	0.5107506822680705	2.0	0.880382469617697	-0.12309308858102389	0.03454287460850871	0.0	2.0	14.36038263392341
9	1	9	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	298	737	13	294.0	739.0	14.0	a488	3699	5964	8735	1	5	7.0.2	294	739	14	3.0	1371.6413525408163	0.23098629490522057	4566.552310003686	0.7690137050947794	1.0	0.4352417849439999	-0.756377769792183	-0.10564668406709803	0.0	2.0	98.88614152238546
9	1	9	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	216	759	17	214.0	763.0	14.0	a488	2755	2385	14008	2	5	7.0.2	214	763	14	3.0	2132.1585306913744	0.2767396828805452	5572.405225753059	0.7232603171194548	2.0	-0.7035076673667986	-0.40713984492790795	-0.10564668406709803	0.0	1.0	98.88614152238546
10	1	10	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	957	821	18	951.0	820.0	16.0	a488	22121	15052	59977	1	5	7.0.2	951	820	16	9.0	2290.0	0.8059000926019938	551.5432893255071	0.1940999073980062	2.0	0.6056240213045031	-0.29614209566279687	0.09644001167948406	0.0	0.0	
10	1	10	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_001.tif	926	838	15	924.0	832.0	12.0	a488	3448	3905	12682	2	5	7.0.2	924	832	12												
12	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_002.tif	362	196	12	365.0	191.0	12.0	a488	4626	5572	9049	1	5	7.0.2	365	191	12	3.0	1628.895331198417	0.3061627040251086	3691.4631245618584	0.6938372959748914	1.0	-0.18333533863567222	-0.7807795090611529	-0.2459469009551623	0.0	1.0	58.18951702133378
12	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_002.tif	406	215	16	410.0	213.0	17.0	a488	3823	3004	9529	2	5	7.0.2	410	213	17	3.0	1150.5216208311776	0.26126494662247185	3253.136947624554	0.7387350533775281	0.0	0.03591178496019641	-0.06759196899139851	0.004053099044837705	0.0	2.0	58.18951702133378
13	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_002.tif	721	218	19	720.0	213.0	17.0	a488	4752	5816	7471	1	5	7.0.2	720	213	17	7.0	5100.0	1.0	0.0	0.0	1.0	0.12577908085065959	-0.1830800596682346	-0.12294486815502417	0.0	1.0	100.89091341579126
13	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_002.tif	756	250	17	759.0	246.0	14.0	a488	3863	3632	12848	2	5	7.0.2	759	246	14	7.0	1482.2280526288794	0.29446467457233516	3551.4081714159524	0.7055353254276648	1.0	0.43289500144011606	0.651621694927063	-0.27294486815502417	0.0	2.0	100.89091341579126
20	3	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_003.tif	552	766	17	546.0	768.0	17.0	a488	3421	3066	5188	1	5	7.0.2	546	768	17	3.0	2936.4093720052047	0.5120460452350775	2798.249452782936	0.48795395476492254	2.0	-0.6670502040448728	0.025990704176928378	-0.09971604028182028	0.0	2.0	61.908318041786174
20	3	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_003.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_003.tif	591	779	21	588.0	774.0	18.0	a488	3458	3205	8749	2	5	7.0.2	588	774	18	3.0	5293.628245353087	0.9760308055568921	130.0	0.023969194443107855	1.0	-0.14604092948450095	0.32205344944229625	-0.049716040281820285	0.0	1.0	61.908318041786174
23	4	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_004.tif	682	325	16	683.0	320.0	13.0	a488	4203	2884	10675	1	5	7.0.2	683	320	13	3.0	2141.2613105363857	0.34281840534168606	4104.789885000206	0.6571815946583139	1.0	0.4256100357171616	-0.38162229066600944	-0.2872909708049349	0.0	1.0	103.61634085064007
23	4	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_004.tif	682	371	19	685.0	367.0	16.0	a488	3807	2625	10100	2	5	7.0.2	685	367	16	3.0	130.0	0.03812453062153593	3279.878046513315	0.961875469378464	1.0	-0.05354037381973352	-0.06569141083149342	-0.13729097080493488	0.0	2.0	103.61634085064007
24	4	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_004.tif	770	907	13	767.0	900.0	13.0	a488	3761	3836	7222	1	5	7.0.2	767	900	13	4.0	980.8669634563089	0.1694730069236763	4806.880485304372	0.8305269930763237	2.0	-0.5061780065116129	-0.0347232382899465	-0.2989468074547078	0.0	2.0	22.29988281217925
24	4	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_004.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_004.tif	742	902	17	746.0	902.0	14.0	a488	3451	2426	8045	2	5	7.0.2	746	902	14	4.0	1968.5527678982853	0.2753105302134976	5181.746809715813	0.7246894697865024	2.0	-0.5640735203615483	-0.452926450058687	-0.24894680745470782	0.0	1.0	22.29988281217925
25	5	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_005.tif	321	211	13	316.0	207.0	13.0	a488	3258	3936	7950	1	5	7.0.2	316	207	13	2.0	1892.8285712129348	0.7140452746788513	758.023746329889	0.28595472532114874	1.0	0.22837991850599512	-0.48457647002156656	-0.11485518363551836	0.0	1.0	108.05884446436792
25	5	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_005.tif	328	266	13	323.0	260.0	12.0	a488	3216	4215	10709	2	5	7.0.2	323	260	12	2.0	260.0	0.07981174843287259	2997.665758552811	0.9201882515671274	1.0	0.19168084281963613	0.35586609329483215	-0.16485518363551838	0.0	2.0	108.05884446436792
26	5	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_005.tif	419	541	10	418.0	535.0	11.0	a488	2938	2307	6318	1	5	7.0.2	418	535	11	3.0	1150.5216208311776	0.23813331016360606	3680.8966298987534	0.7618666898363939	1.0	-0.030853765659731955	-0.8278511983552612	-0.24858721711232262	0.0	2.0	123.91726352451565
26	5	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_005.tif	434	608	11	438.0	611.0	11.0	a488	5069	10166	4265	2	5	7.0.2	438	611	11	3.0	966.7471230885562	0.27150614012762686	2593.9352343495393	0.7284938598723731	1.0	0.40517225612100255	0.37130227932411036	-0.24858721711232262	0.0	1.0	123.91726352451565
28	5	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_005.tif	211	718	18	213.0	716.0	15.0	a488	3429	2830	9648	1	5	7.0.2	213	716	15	1.0	1754.4514812328098	0.5085186139926542	1695.6709586473432	0.4914813860073458	1.0	0.20071286952385012	-0.13929879134070505	-0.0668734050639454	0.0	1.0	115.51032626531898
28	5	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_005.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_005.tif	203	737	15	202.0	735.0	11.0	a488	3529	2880	17502	2	5	7.0.2	202	735	11	1.0	556.5069631190611	0.15996463568738814	2922.430495324055	0.8400353643126118	1.0	-0.113714479562184	0.07256673937922067	-0.28308962128016163	0.0	2.0	115.51032626531898
32	7	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_007.tif	779	146	16	783.0	145.0	14.0	a488	5045	6648	11790	1	5	7.0.2	783	145	14	5.0	1143.153532995459	0.4470226236793526	1414.107492378143	0.5529773763206474	1.0	0.0034896000805576216	0.37049938358528833	-0.11722558212808912	0.0	1.0	78.09695063019338
32	7	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_007.tif	786	166	17	784.0	165.0	19.0	a488	4564	7691	5325	2	5	7.0.2	784	165	19	5.0	390.0	0.12850342501304393	2644.9385626135063	0.8714965749869561	0.0	-0.1344407291644181	0.07124674939530784	0.13277441787191088	0.0	2.0	78.09695063019338
34	7	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_007.tif	617	461	12	616.0	457.0	13.0	a488	4683	6163	10716	1	5	7.0.2	616	457	13	3.0	1255.7069721873809	0.4632058958589671	1455.1975810864997	0.5367941041410329	1.0	0.3743550354476628	0.16662567125920208	-0.07753140770145912	0.0	1.0	47.813329935800695
34	7	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_007.tif	599	465	19	601.0	460.0	20.0	a488	3409	2492	4359	2	5	7.0.2	601	460	20	3.0	1110.1801655587258	0.4234416807388435	1511.6216457830974	0.5765583192611565	0.0	0.1762807155704869	0.29260093175141333	0.3113574811874298	0.0	2.0	47.813329935800695
35	7	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_007.tif	528	775	8	531.0	773.0	8.0	a488	3888	5526	3981	1	5	7.0.2	531	773	8	2.0	1072.0074626605917	0.27493655948490403	2827.100988645436	0.725063440515096	2.0	0.6556402741713127	-0.42817296041765845	-0.3734994198123722	0.0	2.0	132.63665734185372
35	7	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_007.tif	469	697	14	470.0	692.0	15.0	a488	3716	2482	10171	2	5	7.0.2	470	692	15	2.0	1587.9546593023367	0.32891256749501585	3239.9382710169034	0.6710874325049841	2.0	-0.6250853388157587	-0.3113152690501978	-0.0050783671807932765	0.0	1.0	132.63665734185372
37	8	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_008.tif	649	69	10	651.0	65.0	7.0	a488	3216	2306	6098	1	5	7.0.2	651	65	7	5.0	715.8910531638177	0.19193090728708037	3014.050430898594	0.8080690927129196	1.0	0.14515662593411996	0.28124981170030816	-0.36360241604974003	0.0	2.0	116.02204830989241
37	8	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_008.tif	612	69	10	617.0	69.0	10.0	a488	3568	4823	7291	2	5	7.0.2	617	69	10	5.0	1198.0400661079746	0.3746023243975756	2000.124996093994	0.6253976756024244	1.0	-0.007149239569597565	-0.25563847899335507	-0.1871318278144459	0.0	1.0	116.02204830989241
39	8	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_008.tif	210	280	8	203.0	282.0	7.0	a488	3034	2343	4474	1	5	7.0.2	203	282	7	2.0	1390.0	0.2941511957539646	3335.460987629746	0.7058488042460354	1.0	0.10663775918152749	0.5815294435431962	-0.3739102671626684	0.0	1.0	52.544549869071474
39	8	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_008.tif	223	261	10	217.0	256.0	10.0	a488	3509	3377	5270	2	5	7.0.2	217	256	10	2.0	130.0	0.04363546579876788	2849.2279656075257	0.9563645342012321	1.0	-0.03450650687521874	0.06180473168514798	-0.19209208534448655	0.0	2.0	52.544549869071474
40	8	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_008.tif	413	369	11	412.0	364.0	8.0	a488	3148	2698	12880	1	5	7.0.2	412	364	8	4.0	1735.8859409534948	0.42506192176617735	2347.9565583715557	0.5749380782338227	1.0	-0.07929070815768487	-0.757675958583353	-0.3531698796615107	0.0	2.0	25.913535636621678
40	8	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_008.tif	437	366	9	433.0	362.0	6.0	a488	3681	2694	13703	2	5	7.0.2	433	362	6	4.0	1800.0	0.48239956084529906	1931.346680427934	0.5176004391547009	1.0	0.09188875861955668	-0.4557385763977298	-0.47081693848504014	0.0	1.0	25.913535636621678
41	8	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_008.tif	647	375	11	649.0	373.0	8.0	a488	3520	3463	11160	1	5	7.0.2	649	373	8	6.0	300.0	0.07212571629342618	3859.404099080582	0.9278742837065739	1.0	-0.48412558115968524	0.09182699940983965	-0.2949197986776019	0.0	2.0	8.556260230206641
41	8	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_008.tif	629	389	8	629.0	383.0	5.0	a488	3913	4452	9837	2	5	7.0.2	629	383	5	6.0	1500.0	0.18759563162035325	6495.921797558834	0.8124043683796467	2.0	-0.7253547607833354	0.31619615478764285	-0.4824197986776019	0.0	1.0	8.556260230206641
43	9	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_009.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_009.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_009.tif	633	83	6	634.0	80.0	7.0	a488	4872	10520	15501	1	5	7.0.2	634	80	7												
43	9	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_009.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_009.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_009.tif	754	81	14	756.0	76.0	11.0	a488	3380	3420	11008	2	5	7.0.2	756	76	11												
48	10	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488_010.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a594_010.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM745_20220328_001/a488fret_010.tif	568	286	11	567.0	291.0	10.0	a488	3717	2264	5663	1	5	7.0.2	567	291	10	6.0	1735.8859409534948	0.3423738556627109	3334.2615374322395	0.657626144337289	1.0	0.3038344182253916	0.6167942559652546	-0.2903726695168079	0.0	2.0	54.44490736148034
